epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0918,0.4867,4.56834,1.17938,0.00871,0.06321,0.00862,0.00862,0.21896,4.40358,0.27762,3.37862e-05,3.37862e-05,3.37862e-05
2,101.109,0.17526,4.23273,0.97317,0.00825,0.44837,0.02788,0.02788,0.17568,4.21635,0.19077,6.10753e-05,6.10753e-05,6.10753e-05
3,146.243,0.13958,3.98817,0.94788,0.59854,0.02948,0.03795,0.03795,0.14113,3.97733,0.20851,8.16325e-05,8.16325e-05,8.16325e-05
4,192.717,0.12102,3.82517,0.9331,0.60403,0.02183,0.03869,0.03867,0.1439,3.91316,0.20281,7.1706e-05,7.1706e-05,7.1706e-05
5,240.549,0.10739,3.69181,0.92555,0.68555,0.03041,0.0616,0.0616,0.12659,3.79314,0.18575,6.1608e-05,6.1608e-05,6.1608e-05
6,286.64,0.10155,3.582,0.92113,0.70844,0.03575,0.0613,0.0613,0.12741,3.71197,0.18879,5.151e-05,5.151e-05,5.151e-05
7,331.53,0.08967,3.47796,0.94257,0.75833,0.03281,0.07011,0.07011,0.1244,3.56483,0.19068,4.1412e-05,4.1412e-05,4.1412e-05
8,376.985,0.08824,3.40361,0.91282,0.7651,0.04046,0.08218,0.08218,0.11878,3.48442,0.17431,3.1314e-05,3.1314e-05,3.1314e-05
9,422.66,0.08374,3.33093,0.92422,0.76781,0.04052,0.08661,0.08661,0.11868,3.41627,0.18122,2.1216e-05,2.1216e-05,2.1216e-05
10,469.703,0.08241,3.27925,0.92574,0.76959,0.04037,0.08538,0.08538,0.11871,3.41141,0.18447,1.1118e-05,1.1118e-05,1.1118e-05
